gt_target,ESS,CED,TFR
youth voter turnout,0.0,1.0,0.0
"""natural"" labeling",0.0,1.0,0.0
"""top 10% plan""",0.0,1.0,0.0
"""turning the other cheek""",0.0,1.0,0.0
3-d printing,0.0,1.0,0.0
` starchitects,0.0,1.0,0.0
a bad deal for cities and states,0.0,1.0,0.0
a constitutional right,0.0,1.0,0.0333
a gamble,0.0,1.0,0.0
a gateway drug,0.0,1.0,0.0
a harmful atmosphere for gays,0.0,1.0,0.0345
a harmful monopoly,0.0,1.0,0.0
a legitimate threat,0.0,1.0,0.0
a modern family,0.0,1.0,0.0
a palestinian state,0.0,1.0,0.0
a partner,0.0,1.0,0.3
a place at the table,0.0,1.0,0.0667
a problem,0.0,1.0,0.0
a smart investment,0.0,1.0,0.0
a tax break,0.0,1.0,0.0
u.s. policing,0.0,1.0,0.0
ultra-conservatism,0.0,1.0,0.0
unemployment,0.0,1.0,0.0
unfairness in taxation,0.0,1.0,0.0
united states,0.0,1.0,0.0
university,0.0,1.0,0.0
unpaid intenship,0.0,1.0,0.0
vacation,0.0,1.0,0.0
trump,0.0,1.0,0.0
trump's motivation,0.0,1.0,0.0
trying to be liked,0.0,1.0,0.0
tsa,0.0,1.0,0.0
twenty-somethings,0.0,1.0,0.0
u.k,0.0,1.0,0.0
u.s.,0.0,1.0,0.0
u.s. influence in middle-east,0.0,1.0,0.3333
tiered education,0.0,1.0,0.0
tip,0.0,1.0,0.0
traditional values,0.0,1.0,0.0
traffic,0.0,1.0,0.0
transportation,0.0,1.0,0.0
travel,0.0,1.0,0.0
treatment,0.0,1.0,0.0
trouble,0.0,1.0,0.0
the status of teachers,0.0,1.0,0.0
the threat,0.0,1.0,0.0
the u.s.,0.0,1.0,0.0058
the u.s. embassy,0.0,1.0,0.0
the upper hand,0.0,1.0,0.0
the world,0.0,1.0,0.3333
their children,0.0,1.0,0.0
their land,0.0,1.0,0.0
biking rules,0.0,1.0,0.0
bilingual,0.0,1.0,0.0
bilingualism,0.0,1.0,0.0
billionares,0.0,1.0,0.0
birthright citizenship,0.0,1.0,0.0
blackmail,0.0,1.0,0.0
body cameras,0.0,1.0,0.0
brazil,0.0,1.0,0.0
bed side manner,0.0,1.0,0.0
being financially stable,0.0,1.0,0.0
benefits of being bi-lingual,0.0,1.0,0.0
bias of high class people,0.0,1.0,0.0
bicycle,0.0,1.0,0.0
bicyclist,0.0,1.0,0.0
big banks,0.0,1.0,0.0
biking feasibility,0.0,1.0,0.0
bail out,0.0,1.0,0.0
bankcharges,0.0,1.0,0.6667
banker,0.0,1.0,0.0
banking monopolies,0.0,1.0,0.0
basketball,0.0,1.0,0.0
beachfront home law,0.0,1.0,0.0
beachfront homes,0.0,1.0,0.0
beachfront property,0.0,1.0,0.0
architecture,0.0,1.0,0.0
arms,0.0,1.0,0.0
assimilation,0.0,1.0,0.0
atheism,0.0,1.0,0.0
attacks,0.0,1.0,0.0
attacts,0.0,1.0,0.0
attention deficit disorder,0.0,1.0,0.0
automation,0.0,1.0,0.0
christianity,0.0,1.0,0.0
christians,0.0,1.0,0.0
cinema,0.0,1.0,0.0
cities,0.0,1.0,0.0
clarity of writing,0.0,1.0,0.0
climate change,0.0,1.0,0.0
climate change is a concern,0.0,1.0,0.0
closemindedness,0.0,1.0,0.0
cherry-picking students,0.0,1.0,0.0
