Dataset,Tweet,GT Target,GT Stance,Gemini Target,Gemini Stance,LLaMA Target,LLaMA Stance,Qwen Target,Qwen Stance,similar targets,cleaned_tweet
TSE Implicit,"  http://www.thenewsenterprise.com/cgi-bin/c2.cgi?053  +article+News.Local+20090806160618053053003You might have to copy and paste the aricle in the search section. If not its a bout a therapist who raped little boys in Louisville , Kentucky.",gay rights,AGAINST,Therapist accused of rape,AGAINST,rape,AGAINST,rape,AGAINST,"['Therapist accused of rape', 'rape', 'rape']","article News.Local might have to copy and paste the aricle in the search section. If not its a bout a therapist who raped little boys in Louisville , Kentucky."
TSE Implicit," "".... arguing against the Christian belief, instead of attacking Christians themselves?"" First it is obvious to the most nave observer that creationist dogma is not honestly identified with Christian faith. Further, I have not attacked any individual because of their religious belief.  I have exposed their false claims of truth.Stop lying, cf Exodus 20:16.",creationism,AGAINST,Creationism,AGAINST,Christian faith,NONE,Christian faith,NONE,"['Creationism', 'Christian faith', 'Christian faith']",". arguing against the Christian belief, instead of attacking Christians themselves? First it is obvious to the most na ve observer that creationist dogma is not honestly identified with Christian faith. Further, I have not attacked any individual because of their religious belief. I have exposed their false claims of truth.Stop lying, cf Exodus 20 16."
TSE Implicit," ""Nothing in biology makes sense except in light of evolution."" - Theodosius Dobzhansky  /   /> Those who refuse to accept the overwhelming amount of evidence for evolution are either ignorant of the subject matter or religiously delusional.",creationism,AGAINST,Evolution Denial,AGAINST,evolution,FAVOR,evolution,AGAINST,"['Evolution Denial', 'evolution', 'evolution']",Nothing in biology makes sense except in light of evolution. - Theodosius Dobzhansky Those who refuse to accept the overwhelming amount of evidence for evolution are either ignorant of the subject matter or religiously delusional.
TSE Implicit," ""There is no scientist can give strong evidence to support evolution.""  /   /> Have you read the Origin of the Species?  I think you might find some evidence in there.  If you want strong evidence you could also have see some literature from any evolutionary biologist.  Richard Dawkins would be a start.",creationism,AGAINST,Evolution,FAVOR,Not Found,Not Found,evidence,FAVOR,"['Evolution', 'Not Found', 'evidence']",There is no scientist can give strong evidence to support evolution. Have you read the Origin of the Species? I think you might find some evidence in there. If you want strong evidence you could also have see some literature from any evolutionary biologist. Richard Dawkins would be a start.
TSE Implicit," <b 										</tr> 					 										<tr valign=""top""> 											",creationism,FAVOR,,NONE,vaccine,FAVOR,The World Health Organization,FAVOR,"[nan, 'vaccine', 'The World Health Organization']",b tr tr valign top
TSE Implicit," All animals share the same DNA, so we must be related, if you look at the evidence (something religious people don't do) you will see that there is more evidence for it than against it.",creationism,AGAINST,Evolution,FAVOR,DNA,NONE,DNA,NONE,"['Evolution', 'DNA', 'DNA']","All animals share the same DNA, so we must be related, if you look at the evidence something religious people don't do you will see that there is more evidence for it than against it."
TSE Implicit," All of the arguments negating this question are comparing against the dysfunctions occurring in worse case marriages.
",gay rights,AGAINST,Marriage,FAVOR,worse case marriages,NONE,worse case marriages,NONE,"['Marriage', 'worse case marriages', 'worse case marriages']",All of the arguments negating this question are comparing against the dysfunctions occurring in worse case marriages.
TSE Implicit," Anyone who thinks there is no evidence for evolution is either blind, stupid, or both.  As Theodosius Dobzhansky said, ""Nothing in biology makes sense except in light of evolution.""",creationism,AGAINST,Evolution Denial,AGAINST,evolution,FAVOR,Theodosius Dobzhansky,FAVOR,"['Evolution Denial', 'evolution', 'Theodosius Dobzhansky']","Anyone who thinks there is no evidence for evolution is either blind, stupid, or both. As Theodosius Dobzhansky said, Nothing in biology makes sense except in light of evolution."
TSE Implicit," As a general common sense rule you really shouldn't get into a debate against Evolution unless you have some basic understanding of the process of Evolution. Otherwise, you make false statements and use worn out phrases that creationist have used for years to run-down evolution. For the most part creationist deny evolution because it contradicts what they believe, so they choose not to even begin to understand evolution.",creationism,AGAINST,Creationism,AGAINST,Evolution,FAVOR,Evolution,AGAINST,"['Creationism', 'Evolution', 'Evolution']","As a general common sense rule you really shouldn't get into a debate against Evolution unless you have some basic understanding of the process of Evolution. Otherwise, you make false statements and use worn out phrases that creationist have used for years to run-down evolution. For the most part creationist deny evolution because it contradicts what they believe, so they choose not to even begin to understand evolution."
TSE Implicit," Being an atheist in a catholic school i can tell you that Catholicism, or Christianity does not dispel the idea of evolution. It says that you are free to accept as long as you understand two things,  /> The Book of Genesis is not literal, and so the 7 days could represent hundreds of millions of years,  /> and that God is behind evolution in its stem of creation.",creationism,AGAINST,Catholicism,FAVOR,evolution,FAVOR,atheist,NONE,"['Catholicism', 'evolution', 'atheist']","Being an atheist in a catholic school i can tell you that Catholicism, or Christianity does not dispel the idea of evolution. It says that you are free to accept as long as you understand two things, The Book of Genesis is not literal, and so the 7 days could represent hundreds of millions of years, and that God is behind evolution in its stem of creation."
