row_idx,tweet,gt_target,gt_stance,gt_prediction,similar_target,sim_prediction,ESS,CED,TFR
0,"article News.Local might have to copy and paste the aricle in the search section. If not its a bout a therapist who raped little boys in Louisville , Kentucky.",gay rights,AGAINST,AGAINST,Therapist accused of rape,AGAINST,0.0,1.0,0.0
0,"article News.Local might have to copy and paste the aricle in the search section. If not its a bout a therapist who raped little boys in Louisville , Kentucky.",gay rights,AGAINST,AGAINST,rape,AGAINST,0.0,1.0,0.0
0,"article News.Local might have to copy and paste the aricle in the search section. If not its a bout a therapist who raped little boys in Louisville , Kentucky.",gay rights,AGAINST,AGAINST,rape,AGAINST,0.0,1.0,0.0
1,". arguing against the Christian belief, instead of attacking Christians themselves? First it is obvious to the most na ve observer that creationist dogma is not honestly identified with Christian faith. Further, I have not attacked any individual because of their religious belief. I have exposed their false claims of truth.Stop lying, cf Exodus 20 16.",creationism,AGAINST,AGAINST,Creationism,AGAINST,0.0,1.0,0.0
1,". arguing against the Christian belief, instead of attacking Christians themselves? First it is obvious to the most na ve observer that creationist dogma is not honestly identified with Christian faith. Further, I have not attacked any individual because of their religious belief. I have exposed their false claims of truth.Stop lying, cf Exodus 20 16.",creationism,AGAINST,AGAINST,Christian faith,AGAINST,0.0,1.0,0.0
1,". arguing against the Christian belief, instead of attacking Christians themselves? First it is obvious to the most na ve observer that creationist dogma is not honestly identified with Christian faith. Further, I have not attacked any individual because of their religious belief. I have exposed their false claims of truth.Stop lying, cf Exodus 20 16.",creationism,AGAINST,AGAINST,Christian faith,AGAINST,0.0,1.0,0.0
2,Nothing in biology makes sense except in light of evolution. - Theodosius Dobzhansky Those who refuse to accept the overwhelming amount of evidence for evolution are either ignorant of the subject matter or religiously delusional.,creationism,AGAINST,AGAINST,Evolution Denial,AGAINST,0.0,1.0,0.0
2,Nothing in biology makes sense except in light of evolution. - Theodosius Dobzhansky Those who refuse to accept the overwhelming amount of evidence for evolution are either ignorant of the subject matter or religiously delusional.,creationism,AGAINST,AGAINST,evolution,AGAINST,0.0,1.0,0.0
2,Nothing in biology makes sense except in light of evolution. - Theodosius Dobzhansky Those who refuse to accept the overwhelming amount of evidence for evolution are either ignorant of the subject matter or religiously delusional.,creationism,AGAINST,AGAINST,evolution,AGAINST,0.0,1.0,0.0
3,There is no scientist can give strong evidence to support evolution. Have you read the Origin of the Species? I think you might find some evidence in there. If you want strong evidence you could also have see some literature from any evolutionary biologist. Richard Dawkins would be a start.,creationism,AGAINST,AGAINST,Evolution,AGAINST,0.0,1.0,0.0
3,There is no scientist can give strong evidence to support evolution. Have you read the Origin of the Species? I think you might find some evidence in there. If you want strong evidence you could also have see some literature from any evolutionary biologist. Richard Dawkins would be a start.,creationism,AGAINST,AGAINST,Not Found,AGAINST,0.0,1.0,0.0
3,There is no scientist can give strong evidence to support evolution. Have you read the Origin of the Species? I think you might find some evidence in there. If you want strong evidence you could also have see some literature from any evolutionary biologist. Richard Dawkins would be a start.,creationism,AGAINST,AGAINST,evidence,AGAINST,0.0,1.0,0.0
4,b tr tr valign top,creationism,FAVOR,AGAINST,[nan,AGAINST,0.0,1.0,0.0
4,b tr tr valign top,creationism,FAVOR,AGAINST,'vaccine',AGAINST,0.0,1.0,0.0
4,b tr tr valign top,creationism,FAVOR,AGAINST,'The World Health Organization'],AGAINST,0.0,1.0,0.0
5,"All animals share the same DNA, so we must be related, if you look at the evidence something religious people don't do you will see that there is more evidence for it than against it.",creationism,AGAINST,AGAINST,Evolution,AGAINST,0.0,1.0,0.0
5,"All animals share the same DNA, so we must be related, if you look at the evidence something religious people don't do you will see that there is more evidence for it than against it.",creationism,AGAINST,AGAINST,DNA,AGAINST,0.0,1.0,0.0
5,"All animals share the same DNA, so we must be related, if you look at the evidence something religious people don't do you will see that there is more evidence for it than against it.",creationism,AGAINST,AGAINST,DNA,AGAINST,0.0,1.0,0.0
6,All of the arguments negating this question are comparing against the dysfunctions occurring in worse case marriages.,gay rights,AGAINST,AGAINST,Marriage,AGAINST,0.0,1.0,0.0
6,All of the arguments negating this question are comparing against the dysfunctions occurring in worse case marriages.,gay rights,AGAINST,AGAINST,worse case marriages,AGAINST,0.0,1.0,0.0
6,All of the arguments negating this question are comparing against the dysfunctions occurring in worse case marriages.,gay rights,AGAINST,AGAINST,worse case marriages,AGAINST,0.0,1.0,0.0
7,"Anyone who thinks there is no evidence for evolution is either blind, stupid, or both. As Theodosius Dobzhansky said, Nothing in biology makes sense except in light of evolution.",creationism,AGAINST,AGAINST,Evolution Denial,AGAINST,0.0,1.0,0.0
7,"Anyone who thinks there is no evidence for evolution is either blind, stupid, or both. As Theodosius Dobzhansky said, Nothing in biology makes sense except in light of evolution.",creationism,AGAINST,AGAINST,evolution,AGAINST,0.0,1.0,0.0
7,"Anyone who thinks there is no evidence for evolution is either blind, stupid, or both. As Theodosius Dobzhansky said, Nothing in biology makes sense except in light of evolution.",creationism,AGAINST,AGAINST,Theodosius Dobzhansky,AGAINST,0.0,1.0,0.0
8,"As a general common sense rule you really shouldn't get into a debate against Evolution unless you have some basic understanding of the process of Evolution. Otherwise, you make false statements and use worn out phrases that creationist have used for years to run-down evolution. For the most part creationist deny evolution because it contradicts what they believe, so they choose not to even begin to understand evolution.",creationism,AGAINST,AGAINST,Creationism,AGAINST,0.0,1.0,0.0
8,"As a general common sense rule you really shouldn't get into a debate against Evolution unless you have some basic understanding of the process of Evolution. Otherwise, you make false statements and use worn out phrases that creationist have used for years to run-down evolution. For the most part creationist deny evolution because it contradicts what they believe, so they choose not to even begin to understand evolution.",creationism,AGAINST,AGAINST,Evolution,AGAINST,0.0,1.0,0.0
8,"As a general common sense rule you really shouldn't get into a debate against Evolution unless you have some basic understanding of the process of Evolution. Otherwise, you make false statements and use worn out phrases that creationist have used for years to run-down evolution. For the most part creationist deny evolution because it contradicts what they believe, so they choose not to even begin to understand evolution.",creationism,AGAINST,AGAINST,Evolution,AGAINST,0.0,1.0,0.0
9,"Being an atheist in a catholic school i can tell you that Catholicism, or Christianity does not dispel the idea of evolution. It says that you are free to accept as long as you understand two things, The Book of Genesis is not literal, and so the 7 days could represent hundreds of millions of years, and that God is behind evolution in its stem of creation.",creationism,AGAINST,AGAINST,Catholicism,AGAINST,0.0,1.0,0.0
9,"Being an atheist in a catholic school i can tell you that Catholicism, or Christianity does not dispel the idea of evolution. It says that you are free to accept as long as you understand two things, The Book of Genesis is not literal, and so the 7 days could represent hundreds of millions of years, and that God is behind evolution in its stem of creation.",creationism,AGAINST,AGAINST,evolution,AGAINST,0.0,1.0,0.0
9,"Being an atheist in a catholic school i can tell you that Catholicism, or Christianity does not dispel the idea of evolution. It says that you are free to accept as long as you understand two things, The Book of Genesis is not literal, and so the 7 days could represent hundreds of millions of years, and that God is behind evolution in its stem of creation.",creationism,AGAINST,AGAINST,atheist,AGAINST,0.0,1.0,0.0
10,"Can we get one thing straight. Evolution is fact. A theory in science, is an explanation for observations, and you cannot deny that evolution has taken place over the last millions of years. One thing no-one can say for sure is the driving force behind evolution, it could be down to a supreme deity, but evolution is fact, and it is in no way wrong.",creationism,AGAINST,AGAINST,Evolution,AGAINST,0.0,1.0,0.0
10,"Can we get one thing straight. Evolution is fact. A theory in science, is an explanation for observations, and you cannot deny that evolution has taken place over the last millions of years. One thing no-one can say for sure is the driving force behind evolution, it could be down to a supreme deity, but evolution is fact, and it is in no way wrong.",creationism,AGAINST,AGAINST,Evolution,AGAINST,0.0,1.0,0.0
10,"Can we get one thing straight. Evolution is fact. A theory in science, is an explanation for observations, and you cannot deny that evolution has taken place over the last millions of years. One thing no-one can say for sure is the driving force behind evolution, it could be down to a supreme deity, but evolution is fact, and it is in no way wrong.",creationism,AGAINST,AGAINST,evolution,AGAINST,0.0,1.0,0.0
11,Cementing a definition of marriage as between a man and a woman for tradition's sake is wrong Tradition for tradition's sake is a faulty principle. To say that marriage should be defined as between a man and a woman for tradition's sake is to fall into that trap.,gay rights,FAVOR,AGAINST,Traditional Marriage,AGAINST,0.0,1.0,0.0
11,Cementing a definition of marriage as between a man and a woman for tradition's sake is wrong Tradition for tradition's sake is a faulty principle. To say that marriage should be defined as between a man and a woman for tradition's sake is to fall into that trap.,gay rights,FAVOR,AGAINST,marriage,AGAINST,0.0,1.0,0.0
11,Cementing a definition of marriage as between a man and a woman for tradition's sake is wrong Tradition for tradition's sake is a faulty principle. To say that marriage should be defined as between a man and a woman for tradition's sake is to fall into that trap.,gay rights,FAVOR,AGAINST,cementing a definition of marriage,AGAINST,0.0,1.0,0.0
12,"Children do better with mother and father role models - Children benefit from a balance of male and female, differentiated role models. The unique characteristics of men and women are important to impart on children. Same-sex marriage fundamentally undermines this balanced approach to child-rearing.",gay rights,AGAINST,AGAINST,Same-sex marriage,AGAINST,0.0,1.0,0.0
12,"Children do better with mother and father role models - Children benefit from a balance of male and female, differentiated role models. The unique characteristics of men and women are important to impart on children. Same-sex marriage fundamentally undermines this balanced approach to child-rearing.",gay rights,AGAINST,AGAINST,Same-sex marriage,AGAINST,0.0,1.0,0.0
12,"Children do better with mother and father role models - Children benefit from a balance of male and female, differentiated role models. The unique characteristics of men and women are important to impart on children. Same-sex marriage fundamentally undermines this balanced approach to child-rearing.",gay rights,AGAINST,AGAINST,children,AGAINST,0.0,1.0,0.0
13,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,Traditional Family Structure,AGAINST,0.0,1.0,0.0
13,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,love,AGAINST,0.0,1.0,0.0
13,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,children,AGAINST,0.0,1.0,0.0
14,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,Traditional Family Structure,AGAINST,0.0,1.0,0.0
14,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,love,AGAINST,0.0,1.0,0.0
14,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,children,AGAINST,0.0,1.0,0.0
15,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,Traditional Family Structure,AGAINST,0.0,1.0,0.0
15,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,parents,AGAINST,0.0,1.0,0.0
15,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,children,AGAINST,0.0,1.0,0.0
16,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,Traditional Family Structure,AGAINST,0.0,1.0,0.0
16,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,parents,AGAINST,0.0,1.0,0.0
16,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,children,AGAINST,0.0,1.0,0.0
17,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,Traditional family structure,AGAINST,0.0,1.0,0.0
17,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,love,AGAINST,0.0,1.0,0.0
17,"Children do not need distinct male and female parental role-models What children need first is love, compassion, and care from their parents. In addition, children are highly influenced by their social environment as much as their parents, making it unreasonable to place such a high importance on the attributes that parents display.",gay rights,FAVOR,AGAINST,children,AGAINST,0.0,1.0,0.0
