gt_target,ESS,CED,TFR
route to be taken,0.0,0.987,1.0
expense of eating out,0.0181,0.9813,0.6
not correcting someone's spelling,0.0324,0.9763,0.8667
the status of teachers,0.0315,0.9723,0.6667
separate state and religion,0.0287,0.9695,0.4667
bias of high class people,0.0313,0.9537,0.8
climate change is a concern,0.0041,0.9528,0.7484
is real,0.0199,0.9481,0.2
a harmful monopoly,0.0282,0.928,0.6667
oversight of internet addresses,0.037,0.9164,0.9333
homeschool,0.0281,0.9094,0.8667
ruth bader ginsberg,0.0265,0.9062,0.6
complete privacy for children,0.0316,0.8962,0.5333
interfering with the middle east,0.0234,0.8848,0.4
trying to be liked,0.0312,0.8729,0.8667
merger of disney and fox,0.0002,0.8621,0.9333
"what defines ""rock & roll?""",0.0,0.8512,0.3333
u.s. influence in middle-east,0.0144,0.8488,0.9333
sports program in undergraduate schools,0.0201,0.8397,0.4667
masculinity,0.0,0.8362,0.2
a bad deal for cities and states,0.0212,0.8348,0.95
a way to sell what was once free,0.0139,0.8322,0.9333
economic disparity,0.0197,0.8209,0.4
the rituals of adult life,0.0211,0.8144,0.7
age of childbirth,0.0,0.8138,0.2667
government taling money from education,0.0307,0.7988,0.8
prostitution,0.0223,0.7973,0.5333
diplomatic relations,0.0148,0.7941,0.2667
the a.d.h.d. diagnosis,0.0108,0.7915,0.8667
queen elizabeth ii,0.0201,0.7913,0.6667
religion,0.0,0.788,0.1667
grade,0.0,0.782,0.1333
benefits of being bi-lingual,0.0161,0.7804,0.6667
relationships on the internet.,0.0162,0.778,0.7333
it doesn't mention college,0.0,0.7758,0.5333
dealing with difficult countries,0.0301,0.7718,0.7333
current state of affairs,0.0183,0.7715,0.4
a place at the table,0.0192,0.7711,0.5778
choice,0.0264,0.7686,0.2
rock hall of fame,0.0299,0.7617,0.4
machine,0.0155,0.7546,0.8
european union,0.0153,0.7505,0.6
the new apps,0.011,0.7463,0.3667
religion in science,0.0287,0.7352,0.4
street style,0.0247,0.7306,0.3333
socializing without technology,0.0081,0.7243,0.4
women in a relationship,0.0128,0.7209,0.4667
a useful excercise for college students,0.0144,0.7187,0.7667
israeli national boundaries,0.0132,0.7167,0.4
segregation in co-ed schools,0.0115,0.7163,0.4
proof of identification,0.0199,0.7156,0.4
a modern family,0.0223,0.7091,0.3333
"""top 10% plan""",0.0116,0.709,0.2
a harmful atmosphere for gays,0.0153,0.7083,0.7172
pre-school,0.0109,0.7076,0.2
republicans taking over,0.0188,0.7075,0.6667
opiods,0.0238,0.7039,0.2
democracy,0.0209,0.7024,0.2667
the conflict in palestine,0.0146,0.6993,0.5333
religion in education,0.0143,0.6938,0.4
professor,0.0291,0.6935,0.4
election,0.0,0.6907,0.2444
youth voter turnout,0.0195,0.6904,0.4
women's universities,0.0164,0.6902,0.4
matter in an election,0.0064,0.6887,0.8
college admission practices,0.0115,0.6843,0.2667
the euro zone,0.0165,0.6776,0.5333
american politics,0.021,0.674,0.2
the c.i.a.,0.0143,0.673,0.6464
big banks,0.0158,0.6725,0.2333
body cameras,0.0168,0.668,0.2
mass arms deals,0.0219,0.6677,0.6667
european countries,0.0,0.6649,0.2
tall basketball players,0.0183,0.661,0.8
fraternities and sororities,0.0174,0.6586,0.5333
farms,0.0198,0.6582,0.3
abrahamic religions,0.0154,0.6569,0.2667
nuclear weapons,0.0126,0.6551,0.4
rock and roll hall of fame,0.0153,0.6512,0.8667
parental support in education,0.0094,0.6499,0.4667
national sovereignty,0.0187,0.6493,0.4
financial systems,0.0,0.6485,0.2
a tax break,0.018,0.6481,0.4
regulation/deregulation debate,0.0212,0.6478,0.4
opinions on religion,0.0,0.6473,0.2667
addict treatment funding,0.0178,0.6443,0.3333
childcare,0.0193,0.6443,0.3333
humane animal husbandry,0.0078,0.6418,0.3333
medical surgery,0.0057,0.6332,0.2667
legalization of marijuanua,0.0281,0.6319,0.7333
declawing cats?,0.0233,0.6302,0.3333
employer,0.0229,0.6283,0.7333
government support,0.0188,0.6214,0.5333
palestine-israel conflict,0.0203,0.6198,0.7
tayyip erdo������an,0.0227,0.6167,0.3333
technology,0.0191,0.6136,0.4
advice about eating well,0.0124,0.6112,0.5143
new york 's bike lanes,0.0144,0.6106,0.5667
cost of education,0.0124,0.6095,0.4
season,0.0143,0.6055,0.6
taxation practices,0.0062,0.604,0.5333
laborer,0.0125,0.6025,0.3333
attention deficit disorder,0.0059,0.5987,0.3333
business,0.0149,0.5938,0.2333
difficulty of getting a job,0.0047,0.5925,0.6667
online medical information,0.0212,0.5922,0.2667
mandatory in college,0.014,0.5899,0.4381
manual labor,0.0113,0.5856,0.4667
academia,0.0081,0.5851,0.5333
fraud,0.0078,0.5848,0.5333
addiction,0.0148,0.5689,0.3333
economy,0.0,0.5673,0.2667
introvert,0.0089,0.5671,0.2667
anti-vax,0.0177,0.563,0.3333
ruth bader ginsburg,0.0129,0.5607,0.4
fairness,0.0068,0.5607,0.4
male rights,0.0104,0.5594,0.2667
teacjers,0.0099,0.5588,0.2667
governemnt,0.0115,0.5548,0.3333
none,0.0,0.5543,0.3067
partisan judges,0.0,0.5533,0.5333
cherry-picking students,0.0157,0.5532,0.5111
corporate greed,0.0131,0.5531,0.2
musicians,0.01,0.553,0.2
