gt_target,ESS,CED,TFR
climate change is a concern,0.0096,0.9833,0.8426
the status of teachers,0.023,0.9328,0.9333
is real,0.0135,0.8994,0.2
economic disparity,0.0189,0.8945,0.6667
choice,0.0245,0.8766,0.2
a harmful monopoly,0.0186,0.86,0.6667
homeschool,0.0223,0.8592,0.6667
merger of disney and fox,0.0016,0.8535,0.8667
bias of high class people,0.0197,0.8328,1.0
men,0.0002,0.8276,0.8
ruth bader ginsberg,0.0209,0.8098,0.6
not correcting someone's spelling,0.0222,0.7881,1.0
route to be taken,0.0016,0.7871,0.6667
dealing with difficult countries,0.0288,0.7782,0.7333
expense of eating out,0.0099,0.7601,0.6
trying to be liked,0.0201,0.7575,0.7333
complete privacy for children,0.0213,0.7549,0.5333
u.s. influence in middle-east,0.01,0.7541,0.7333
separate state and religion,0.0174,0.7442,0.4667
sports program in undergraduate schools,0.0157,0.7427,0.4667
opinions on religion,0.0001,0.7086,0.7333
a bad deal for cities and states,0.0155,0.6778,0.95
oversight of internet addresses,0.028,0.6755,0.6
current state of affairs,0.0129,0.6741,0.4
a place at the table,0.0151,0.6706,0.637
government taling money from education,0.0224,0.662,0.8
partisan judges,0.0001,0.6593,0.7333
republicans taking over,0.0161,0.6567,0.3333
rock hall of fame,0.021,0.6497,0.8667
queen elizabeth ii,0.014,0.6468,0.4
benefits of being bi-lingual,0.0099,0.643,0.6
a way to sell what was once free,0.0087,0.6281,1.0
democracy,0.0162,0.6104,0.5333
the rituals of adult life,0.0135,0.6064,0.7
street style,0.0176,0.6027,0.3333
religion in science,0.0226,0.5982,0.4
the new apps,0.0068,0.5972,0.4333
online medical information,0.0182,0.5959,0.4
interfering with the middle east,0.0146,0.5903,0.4
childcare,0.0145,0.5791,0.3333
rock and roll hall of fame,0.01,0.5733,0.6667
economy,0.0004,0.5727,0.8833
declawing cats?,0.0176,0.5669,0.3333
the c.i.a.,0.0096,0.5636,0.6058
employer,0.017,0.5629,0.7333
government support,0.0167,0.56,0.3333
regulation/deregulation debate,0.0132,0.5572,0.1333
election,0.0002,0.5558,0.7333
royal couple,0.0179,0.5515,0.2667
the a.d.h.d. diagnosis,0.0045,0.5469,0.9333
diplomatic relations,0.0062,0.5448,0.3333
a modern family,0.015,0.5397,0.3333
matter in an election,0.0034,0.5332,0.4
financial systems,0.0004,0.5245,0.8
a useful excercise for college students,0.0081,0.5086,0.7667
the conflict in palestine,0.008,0.5079,0.5333
palestine-israel conflict,0.0155,0.5006,0.5333
prostitution,0.0102,0.4953,0.7333
tall basketball players,0.0112,0.4893,0.6
a harmful atmosphere for gays,0.009,0.4868,0.6966
the euro zone,0.0104,0.486,0.5111
proof of identification,0.0113,0.4859,0.4
pre-school,0.0055,0.4833,0.7333
tayyip erdo������an,0.0161,0.4813,0.3333
relationships on the internet.,0.0089,0.481,0.7333
national sovereignty,0.0158,0.4795,0.2
parental expectations,0.0084,0.4778,0.2667
segregation in co-ed schools,0.007,0.477,0.4
freedom of isrealis,0.0144,0.4747,0.4667
season,0.0097,0.4738,0.2
new york 's bike lanes,0.0098,0.4732,0.5667
addict treatment funding,0.0094,0.4679,0.2667
overcrowded national parks,0.0128,0.4655,0.4
youth voter turnout,0.0116,0.4639,0.6
a tax break,0.0125,0.4625,0.4
corporatation,0.0038,0.4604,0.4
technology,0.0129,0.4589,0.4
marraige,0.007,0.4562,0.2667
gay rights,0.031,0.4556,0.3513
advice about eating well,0.0083,0.4529,0.5619
legalization of marijuanua,0.0166,0.4516,0.5333
farms,0.0143,0.4504,0.4667
anti-vax,0.0133,0.4487,0.2
medical surgery,0.0017,0.4479,0.6
mandatory in college,0.0098,0.4474,0.4095
difficulty of getting a job,0.0034,0.4448,0.6667
mass arms deals,0.0109,0.4438,0.4
big banks,0.0092,0.4433,0.2333
fraternities and sororities,0.0104,0.4414,0.4
american politics,0.0118,0.4362,0.4
communication,0.0095,0.4342,0.2667
feminism,0.0059,0.4303,0.2
european union,0.01,0.4302,0.4
abrahamic religions,0.0096,0.4275,0.2667
mandatory for all children,0.0088,0.4249,0.5222
women in a relationship,0.0064,0.4188,0.4667
de-clawing,0.0164,0.4184,0.3333
body cameras,0.0132,0.4175,0.2667
cherry-picking students,0.0106,0.4172,0.4111
war,0.0112,0.4154,0.3333
corruption,0.0116,0.4144,0.3667
professor,0.0208,0.4141,0.4
business,0.0104,0.414,0.2333
teacjers,0.0069,0.4127,0.4667
proper food preparation,0.0062,0.4124,0.3333
addiction,0.0113,0.4122,0.5333
traffic,0.0168,0.4119,0.5333
walmarts,0.0102,0.4089,0.2
musicians,0.0048,0.4075,0.2
it doesn't mention college,0.0002,0.4056,1.0
evolution,0.0136,0.404,0.4
fairness,0.0026,0.401,0.4667
humane animal husbandry,0.004,0.3974,0.3333
adoption,0.0038,0.3973,0.2
illegal labor,0.0088,0.3951,0.3067
terrorism,0.007,0.3837,0.3333
socializing without technology,0.0038,0.3818,0.4
taxation practices,0.0028,0.379,0.2
ruth bader ginsburg,0.008,0.377,0.4
college students,0.0125,0.3758,0.3167
middle east,0.0126,0.3745,0.3167
women's universities,0.0082,0.3719,0.4
minor violations,0.0095,0.3702,0.3667
judge,0.0055,0.3694,0.2
opiods,0.0111,0.3656,0.2
immigration reform,0.0113,0.3622,0.4
machine,0.0071,0.3605,0.4
governemnt,0.0064,0.3601,0.2
a partner,0.0074,0.3598,0.4333
architecture,0.0085,0.3595,0.2
candidate 's spouse,0.0119,0.3573,0.2667
the enlightenment,0.0106,0.3562,0.2
college not free,0.0063,0.3541,0.2
refugees,0.0083,0.3507,0.375
drug addicts,0.0077,0.3498,0.2
scholorships,0.0053,0.3498,0.2
multilingual,0.0068,0.3488,0.6667
mideast peace,0.0062,0.3475,0.4
international support for israel,0.0034,0.3473,0.4667
european countries,0.0003,0.344,1.0
bankcharges,0.0055,0.3438,0.2667
religion in education,0.0055,0.3435,0.4
the u.s.,0.0076,0.3426,0.3855
a gateway drug,0.0082,0.3426,0.3778
"""top 10% plan""",0.005,0.3416,0.2
college admission practices,0.0054,0.3412,0.2667
campus,0.0085,0.3394,0.3333
netanyahu,0.0049,0.3394,0.4
a legitimate threat,0.0051,0.338,0.2667
childbirth,0.0088,0.3352,0.4
parental support in education,0.0045,0.3307,0.4667
high meal prices,0.0107,0.3295,0.5333
the best way,0.0037,0.3263,0.32
palistine,0.0027,0.3251,0.4
selling firearms internationally,0.009,0.3193,0.4667
the u.s. embassy,0.0075,0.3181,0.5333
african-american,0.0123,0.316,0.5333
higher education,0.0112,0.3143,0.3333
transportation,0.0127,0.3139,0.3333
populism,0.0124,0.3137,0.5333
the atlantic coast,0.0108,0.3136,0.4667
corporate greed,0.0074,0.3128,0.4
israeli national boundaries,0.004,0.3124,0.4
enough,0.0099,0.3121,0.2
labour,0.0019,0.3119,0.1333
kids at home,0.0091,0.3098,0.2667
american foreign policy,0.0037,0.3091,0.5333
oympics,0.01,0.3089,0.3333
increasing sports difficulty,0.005,0.3082,0.3333
capitalism,0.0058,0.3062,0.4667
military intervention(s),0.005,0.3052,0.2667
language,0.007,0.302,0.3333
new york 's,0.006,0.3008,0.2833
homeschooling,0.007,0.3003,0.3515
manual labor,0.0055,0.2991,0.4667
employment,0.0071,0.2988,0.4
self-centered,0.0082,0.2985,0.2667
supreme court,0.0077,0.2983,0.2556
not vaccinating,0.0135,0.2979,0.5333
nations,0.0086,0.2965,0.2444
democracies,0.0085,0.2942,0.2667
sport,0.0106,0.2932,0.2
travel,0.002,0.2925,0.2667
overpriced flights for experience,0.0065,0.2916,0.4667
islamic laws,0.0088,0.287,0.1333
doping,0.0061,0.287,0.2889
3-d printing,0.0092,0.2867,0.2667
obesity,0.0075,0.2866,0.3
america 's fears,0.0076,0.2863,0.4
cook,0.0001,0.2863,0.8
free will,0.0108,0.2838,0.1333
middle eastern conflicts,0.0063,0.2833,0.5333
criminal,0.0083,0.2825,0.3
a palestinian state,0.0063,0.2825,0.3333
lockdown in new york state,0.0005,0.2823,0.7294
assimilation,0.008,0.2803,0.4667
nuclear weapons,0.0053,0.2801,0.5333
government overspending on infrastructure,0.0098,0.2783,0.2667
social media,0.009,0.2779,0.2667
olympics location,0.0104,0.2771,0.2667
parent's and other's religious beliefs,0.0038,0.2766,1.0
mother teresa,0.0061,0.2758,0.237
family structure,0.0062,0.2754,0.2667
voting youth,0.0073,0.2753,0.1333
gentrification,0.0065,0.2751,0.4
propoganda,0.0107,0.2724,0.2
israel,0.0075,0.2711,0.2
tax breaks,0.007,0.2704,0.3
male rights,0.0044,0.2701,0.2667
teenagers,0.0076,0.2699,0.2667
brazil,0.0091,0.269,0.3167
a smart investment,0.004,0.2681,0.3167
vote,0.0056,0.268,0.3333
police,0.0053,0.2678,0.2444
residents,0.0044,0.2675,0.2
promotion,0.0051,0.2674,0.2
problems with visa,0.0028,0.2664,0.2
crime,0.0067,0.2657,0.2933
injustice,0.0094,0.2648,0.2
reality shows,0.0056,0.2623,0.2667
fees,0.0059,0.2614,0.2667
misdiagnosis by doctors,0.007,0.2607,0.1333
